Hotel Name,Rating,Rating Description,Reviews,Star Rating,Location,Nearest Landmark,Distance to Landmark,Price,Tax,place
The Park Bangalore,3.9,Very Good,4187.0,5.0,Ulsoor,,,"7,567","2,254",Bangalore
"Keys Select by Lemon Tree Hotels, Whitefield, Bengaluru",4.0,Very Good,2201.0,4.0,Brookefield,,,"1,509",531,Bangalore
ITC Windsor - A Luxury Collection Hotel,4.4,Excellent,1315.0,5.0,Vasanth Nagar ,Bangalore Palace,2.4 km ,"9,900",,Bangalore
Lemon Tree Premier Ulsoor Lake Bangalore,4.0,Very Good,5089.0,5.0,Sivanchetti Gardens ,Ulsoor Lake,770 m ,"2,347",918,Bangalore
"Keys Select by Lemon Tree Hotels, Hosur Road, Bengaluru",4.0,Very Good,3290.0,4.0,Hosur road,,,"2,522","1,014",Bangalore
The Chancery Pavilion,3.8,Very Good,4764.0,5.0,Ashok Nagar ,MG Road,2.4 km ,"6,580","1,540",Bangalore
Radisson Blu Atria Bengaluru,4.3,Excellent,2372.0,5.0,Palace road,,,"10,200",,Bangalore
Lemon Tree Hotel Electronics City Bangalore,4.1,Very Good,2314.0,4.0,Electronic City,,,"2,598","1,016",Bangalore
"Welcomhotel by ITC Hotels, Richmond Road, Bengaluru",4.3,Excellent,2076.0,5.0,Richmond road,,,"7,700",,Bangalore
Grand Mercure Bangalore - An Accor Brand,4.3,Excellent,426.0,5.0,Koramangala,,,"9,700",,Bangalore
Holiday Inn Express Bengaluru Yeshwantpur,3.7,Very Good,1602.0,3.0,Tumkur road,,,"3,680",480,Bangalore
goSTOPS Bengaluru - Rooms & Dorms,4.2,Very Good,500.0,,Gandhi Nagar,,,"1,098",269,Bangalore
Holiday Inn Bengaluru Racecourse,4.0,Very Good,2156.0,5.0,Gandhi Nagar,,,"7,249",,Bangalore
Fortune Select JP Cosmos - Member ITC Hotel Group,4.0,Very Good,2944.0,5.0,Vasanth Nagar ,Bangalore Palace,2.9 km ,"5,999",,Bangalore
Hyatt Centric MG Road Bangalore,4.2,Very Good,1162.0,5.0,Ulsoor,,,"6,250",,Bangalore
Ibis Bengaluru City Centre - An Accor Brand,3.9,Very Good,1805.0,4.0,Sampangi Rama Nagar ,Cubbon Park,1.8 km ,"4,299",,Bangalore
"The Fern Residency - Yeshwanthpur, Bengaluru",4.0,Very Good,1618.0,4.0,Tumkur road,,,"4,112",831,Bangalore
Ashraya International Hotel,3.7,Very Good,664.0,3.0,Infantry Road ,MG Road,2.3 km ,"2,792",564,Bangalore
Davanam Sarovar Portico Suites,4.3,Excellent,1865.0,4.0,Koramangala,,,"5,076","1,026",Bangalore
"Taj M G Road, Bengaluru",4.6,Excellent,1715.0,5.0,Sivanchetti Gardens ,MG Road,2.9 km ,"9,000",,Bangalore
Draper Startup House Koramangala | Dorms & Rooms,4.4,Excellent,222.0,,Koramangala,,,"1,113",294,Bangalore
The Lalit Ashok Bangalore,3.8,Very Good,2542.0,5.0,Seshadripuram,,,"6,698","1,354",Bangalore
"Vivanta Bengaluru, Residency Road",4.3,Excellent,1022.0,5.0,Residency Road ,MG Road,1.5 km ,"7,000",,Bangalore
ibis Bengaluru Hebbal - An Accor Brand,4.1,Very Good,237.0,4.0,Hebbal,,,"4,499",,Bangalore
Vividus,4.2,Very Good,1791.0,5.0,Gandhi Nagar,,,"6,547","2,156",Bangalore
Citrus Hotel Cunningham,4.1,Very Good,1869.0,5.0,Cunningham Road ,Indira Gandhi Musical Fountain Park,780 m ,"3,934","1,075",Bangalore
Citrus Classic Bengaluru,3.9,Very Good,527.0,4.0,Outer Ring Road,,,"3,575",977,Bangalore
"Taj Yeshwantpur, Bengaluru",4.6,Excellent,2138.0,5.0,Tumkur road,,,"7,500",,Bangalore
Lemon Tree Hotel Whitefield,4.1,Very Good,2327.0,4.0,Brookefield,,,"2,347",843,Bangalore
"Golden Lotus Bangalore Boutique Suites | Rooms & Garden
Like a 3",3.8,Very Good,865.0,,Richmond road ,MG Road,3.0 km ,"2,660",754,Bangalore
Ramada Encore,4.4,Excellent,4271.0,4.0,Domlur Layout,,,"5,640","1,140",Bangalore
Ibis Bengaluru Hosur Road - An Accor Brand,3.9,Very Good,1381.0,3.0,Hosur road,,,"4,499",,Bangalore
"The Oberoi, Bengaluru",4.7,Excellent,1565.0,5.0,Ulsoor,,,"11,500",,Bangalore
Holiday Inn Express Bengaluru Whitefield ITPL,3.5,Very Good,1242.0,3.0,Whitefield,,,"3,399",,Bangalore
The Hosteller Bangalore Brigade Road,,,,,Ashok Nagar ,MG Road,2.2 km ,"1,330",315,Bangalore
Ginger Bangalore (IRR),3.6,Very Good,1639.0,3.0,Domlur Layout,,,"1,689",,Bangalore
Gokulam Grand Hotel & Spa,4.1,Very Good,1537.0,5.0,Mathikere,,,"6,409","1,295",Bangalore
Bloom Hotel - Airport Road Bengaluru,4.4,Excellent,191.0,3.0,Near Bangalore Airport ,Kempegowda Airport ,7.7 km ,"4,000",,Bangalore
Hotel Ramanashree Richmond Circle,3.8,Very Good,686.0,3.0,Sampangi Rama Nagar ,Cubbon Park,2.1 km ,"2,792",564,Bangalore
"SRS Suites
Like a 3",4.4,Excellent,20.0,,Koramangala,,,"3,178",806,Bangalore
JP CORDIAL,3.7,Very Good,1750.0,3.0,Majestic,,,"2,726",638,Bangalore
Taj Bangalore,4.6,Excellent,1172.0,5.0,Near Bangalore Airport ,Kempegowda Airport ,900 m ,"11,750",,Bangalore
Radisson Bengaluru City Center,4.5,Excellent,1283.0,4.0,Ulsoor,,,"7,500",,Bangalore
The Pride Hotel Bangalore,3.8,Very Good,1526.0,4.0,Richmond road ,Cubbon Park,2.6 km ,"4,599",552,Bangalore
BloomSuites | Electronic City,4.1,Very Good,643.0,4.0,Electronic City,,,"5,000",,Bangalore
Southern Star Bangalore,3.9,Very Good,1320.0,4.0,Ashok Nagar ,MG Road,910 m ,"3,082",872,Bangalore
