Hotel Name,Rating,Rating Description,Reviews,Star Rating,Location,Nearest Landmark,Distance to Landmark,Price,Tax,place
"Taj Club House, Chennai",4.3,Excellent,2000,5.0,Royapettah,,,"6,390",767,Chennai
The Park Chennai,3.7,Very Good,8366,5.0,Near US Consulate,,,"7,198","2,167",Chennai
"Taj Fisherman's Cove Resort & Spa, Chennai",4.3,Excellent,1856,5.0,Covelong ,city centre,36.3 km ,"12,555","2,260",Chennai
Hotel Savera,4.0,Very Good,7458,4.0,Mylapore,,,"4,612","1,091",Chennai
Ibis Chennai OMR - An Accor Brand,4.1,Very Good,2545,4.0,Sholinganallur,,,"3,345",,Chennai
"Taj Coromandel, Chennai",4.5,Excellent,784,5.0,Near US Consulate,,,"11,200",,Chennai
Courtyard by Marriott Chennai,4.2,Very Good,1208,4.0,Mount road,,,"7,500",,Chennai
Radisson Blu Hotel Chennai City Centre,4.3,Excellent,3991,5.0,Egmore,,,"9,443",,Chennai
FIRST INN HOTELS,3.8,Very Good,214,,Perungudi,,,"2,907",594,Chennai
Ibis Chennai City Centre - An Accor Brand,3.9,Very Good,2213,3.0,Mount road ,Thousand Lights Mosque,540 m ,"5,299",,Chennai
Rohaan Inns - UPAR Ashok Nagar,4.1,Very Good,179,,Ashok Nagar ,Chennai Airport,9.4 km ,"1,771",495,Chennai
"Vivanta Chennai, IT Expressway",4.4,Excellent,1601,5.0,Sholinganallur,,,"7,360",,Chennai
"Taj Connemara, Chennai",4.5,Excellent,1215,5.0,Chennai,,,"7,600","1,368",Chennai
Four Points by Sheraton Chennai OMR,4.1,Very Good,2314,4.0,Sholinganallur,,,"5,859","1,197",Chennai
Ramada Plaza by Wyndham,4.5,Excellent,3185,5.0,Saidapet ,Chennai Airport,7.6 km ,"7,533","2,554",Chennai
Citadines OMRChennai,4.4,Excellent,1714,5.0,Sholinganallur,,,"11,340",,Chennai
The Leela Palace Chennai,4.5,Excellent,1261,5.0,Raja Annamalai Puram,,,"10,800",,Chennai
