Hotel Name,Rating,Rating Description,Reviews,Star Rating,Location,Nearest Landmark,Distance to Landmark,Price,Tax,place
"Country Inn and Suites by Radisson, Sahibabad",4.2,Very Good,15697,5.0,In Ghaziabad ,Delhi city centre,30.0 km ,"6,249",,Delhi
Radisson Blu Kaushambi Delhi NCR,4.0,Very Good,1826,5.0,In Ghaziabad ,Delhi city centre,28.0 km ,"5,039",605,Delhi
The Ashok,3.8,Very Good,5694,5.0,Chanakyapuri ,T1 - Delhi Airport (IGI Airport),9.8 km ,"6,288",,Delhi
Pride Plaza Hotel Aerocity New Delhi,4.0,Very Good,7275,5.0,Aerocity ,Indira Gandhi International Airport,4.0 km ,"6,499",780,Delhi
"Golden Tulip Vasundhara Hotel & Suites, Delhi NCR",3.9,Very Good,2057,4.0,In Ghaziabad ,Delhi city centre,31.0 km ,"3,386",871,Delhi
"Welcomhotel by ITC Hotels, Dwarka, New Delhi",4.0,Very Good,9348,5.0,Sector 10 Dwarka,,,"6,223",,Delhi
Holiday Inn New Delhi International Airport,4.2,Very Good,5734,5.0,Aerocity ,Indira Gandhi International Airport,3.8 km ,"6,999",,Delhi
Novotel New Delhi International Airport- An Accor hotels brand,4.1,Very Good,4534,5.0,Aerocity ,Indira Gandhi International Airport,4.2 km ,"7,250",,Delhi
The Suryaa New Delhi,4.1,Very Good,4314,5.0,New Friends Colony,,,"5,348","1,092",Delhi
The Hosteller Delhi | Private Rooms & Dorms,4.3,Excellent,795,,New Friends Colony,,,"2,228",503,Delhi
The LaLiT New Delhi,4.1,Very Good,7908,5.0,Connaught Place,,,"9,040","2,430",Delhi
Radisson Blu Plaza Delhi Airport,4.3,Excellent,7275,5.0,Mahipalpur ,Indira Gandhi International Airport,5.2 km ,"4,500",765,Delhi
Roseate House New Delhi,4.4,Excellent,9130,5.0,Aerocity ,Indira Gandhi International Airport,3.5 km ,"9,649","1,737",Delhi
Lemon Tree Hotel East Delhi Mall Kaushambi,3.9,Very Good,1550,4.0,In Ghaziabad ,Delhi city centre,24.0 km ,"2,073",752,Delhi
YWCA OF DELHI BLUE TRIANGLE FAMILY HOSTEL,3.9,Very Good,505,,Connaught Place ,Metro Museum,690 m ,"2,620",770,Delhi
Hotel Trans International,4.2,Very Good,6933,4.0,Mahipalpur ,Indira Gandhi International Airport,4.3 km ,"2,274",465,Delhi
The Leela Ambience Convention Hotel Delhi,4.4,Excellent,3845,5.0,East Delhi,,,"7,499",,Delhi
Jaypee Vasant Continental Hotel,4.0,Very Good,1696,5.0,Vasant Vihar ,T1 - Delhi Airport (IGI Airport),7.6 km ,"5,999",,Delhi
