Hotel Name,Rating,Rating Description,Reviews,Star Rating,Location,Nearest Landmark,Distance to Landmark,Price,Tax,place
Radisson Hyderabad Hitec City,3.7,Very Good,7994,5.0,Gachibowli,,,"4,500",,Hyderabad
The Park Hyderabad,3.7,Very Good,11318,5.0,Somajiguda,,,"5,699","1,284",Hyderabad
ITC Kohenur - A Luxury Collection Hotel,4.3,Excellent,2465,5.0,Hitech City,,,"16,150",,Hyderabad
Fairfield by Marriott Hyderabad Gachibowli,3.9,Very Good,5006,4.0,Gachibowli,,,"4,004",818,Hyderabad
Radisson Blu Plaza Hotel,4.1,Very Good,4632,5.0,Banjara Hills,,,"7,250",,Hyderabad
Lemon Tree Hotel Gachibowli,4.0,Very Good,5372,4.0,Gachibowli,,,"4,183","1,518",Hyderabad
Red Fox Hotel Hyderabad,3.9,Very Good,4338,3.0,Hitech City,,,"2,654","1,050",Hyderabad
"Lemon Tree Hotel, Banjara Hills, Hyderabad",4.1,Very Good,2775,4.0,Banjara Hills,,,"2,571",933,Hyderabad
"Taj Krishna, Hyderabad",4.5,Excellent,1580,5.0,Banjara Hills,,,"8,000",,Hyderabad
Novotel Hyderabad Airport,3.9,Very Good,1278,5.0,Near Hyderabad Airport ,Rajiv Gandhi International Airport,3.6 km ,"12,999",,Hyderabad
Rester Select Kukatpally,4.0,Very Good,263,3.0,Kukatpally,,,"2,463",674,Hyderabad
The Golkonda Hotel,4.1,Very Good,3981,4.0,Masab Tank,,,"5,499",660,Hyderabad
Trident Hyderabad,4.7,Excellent,1517,5.0,Hitech City,,,"14,250",,Hyderabad
Ellaa Hotel Gachibowli,3.8,Very Good,4341,4.0,Gachibowli,,,"3,321",678,Hyderabad
Lemon Tree Premier HITEC City Hyderabad,4.0,Very Good,5148,5.0,Hitech City,,,"3,151","1,246",Hyderabad
"Siri Inn Hospitality | Rooms in an Apartment
Like a 3",3.6,Very Good,681,,Hitech City,,,"1,287",373,Hyderabad
ibis Hyderabad HITEC City - An Accor Brand,3.8,Very Good,1016,3.0,Hitech City,,,"4,499",,Hyderabad
Hyatt Place Hyderabad Banjara Hills,4.1,Very Good,1695,5.0,Banjara Hills,,,"7,249",,Hyderabad
"Vivanta Hyderabad, Begumpet",4.4,Excellent,2743,5.0,Begumpet,,,"6,500",,Hyderabad
Zen Comfort,4.0,Very Good,300,,Gachibowli,,,"1,438",387,Hyderabad
Hyderabad Marriott Hotel and Convention Centre,4.3,Excellent,1240,5.0,Kavadiguda,,,"6,500",,Hyderabad
HOTEL SIGNATURE AIRPORT ZONE SHAMSHABAD,4.1,Very Good,2343,3.0,Shamshabad ,Rajiv Gandhi International Airport,8.5 km ,"2,217",571,Hyderabad
Daspalla Hotel,4.1,Very Good,1948,4.0,Jubilee Hills,,,"5,413","1,386",Hyderabad
Hotel OAK by Signature,4.2,Very Good,1722,3.0,Shamshabad ,Rajiv Gandhi International Airport,8.5 km ,"1,317",346,Hyderabad
Aditya Park Hyderabad - A Sarovar Hotel,4.0,Very Good,2503,4.0,Ameerpet,,,"6,111","1,248",Hyderabad
"Park Hyatt Hotel and Residences, Hyderabad",4.2,Very Good,874,5.0,Sri Nagar Colony,,,"10,000",,Hyderabad
Marigold By Green Park,4.3,Excellent,2477,5.0,Ameerpet,,,"5,714","1,485",Hyderabad
Hotel Hyderabad Grand,3.8,Very Good,1599,3.0,Shamshabad ,Rajiv Gandhi International Airport,7.6 km ,"3,028",756,Hyderabad
Green Park,4.2,Very Good,1864,4.0,Ameerpet,,,"5,122","1,267",Hyderabad
The Central Court,3.6,Very Good,3819,3.0,Lakdikapul,,,"2,041",566,Hyderabad
Holiday Inn Express Hyderabad HITEC City,3.5,Very Good,1894,3.0,Hitech City,,,"4,499",,Hyderabad
Slackpackr Hostel,4.1,Very Good,87,,Begumpet,,,849,237,Hyderabad
Holiday Inn Express Hyderabad Banjara Hills,3.5,Very Good,2359,3.0,Punjagutta,,,"4,140",540,Hyderabad
