Hotel Name,Rating,Rating Description,Reviews,Star Rating,Location,Nearest Landmark,Distance to Landmark,Price,Tax,place
The Park Kolkata,3.9,Very Good,7647,5.0,New Market Area ,Park Street,210 m ,"4,207",886,Kolkata
"Zone By The Park, Kolkata",3.8,Very Good,8656,5.0,New Town,,,"3,915",926,Kolkata
JW Marriott Hotel Kolkata,4.4,Excellent,1527,5.0,Tangra,,,"7,800",,Kolkata
ibis Kolkata Rajarhat - An Accor Brand,3.9,Very Good,2355,4.0,New Town,,,"2,220",,Kolkata
The Lalit Great Eastern Kolkata,4.2,Very Good,2486,5.0,Bow Barracks ,Eden Gardens,970 m ,"6,365",764,Kolkata
ITC Royal Bengal - A Luxury Collection Hotel,4.5,Excellent,3849,5.0,Tangra,,,"8,925",,Kolkata
"Lemon Tree Premier, New Town, Kolkata",4.2,Very Good,3026,5.0,New Town,,,"2,156",782,Kolkata
Novotel Kolkata Hotel and Residences,4.1,Very Good,2827,5.0,New Town,,,"5,060",,Kolkata
All Fresco Hotel,3.7,Very Good,688,3.0,Baguiati ,Netaji Subhash Chandra Bose International Airport,5.6 km ,"1,637",483,Kolkata
Regenta Orko's Kolkata,3.9,Very Good,2055,4.0,Kasba ,Acropolis Mall,680 m ,"3,321",449,Kolkata
"Holiday Inn Express, Kolkata Airport",4.1,Very Good,1655,3.0,Dum Dum ,Netaji Subhash Chandra Bose International Airport,1.7 km ,"4,099",,Kolkata
Himalayan Inn Guest House - Near TCS Gitobitan,3.3,Good,534,,Salt Lake City,,,724,257,Kolkata
Holiday Inn Kolkata Airport,4.1,Very Good,2486,5.0,Chinar Park ,Netaji Subhash Chandra Bose International Airport,4.7 km ,"4,600",,Kolkata
"Taj City Centre New Town, Kolkata",4.4,Excellent,1556,5.0,Rajarhat ,Netaji Subhash Chandra Bose International Airport,5.8 km ,"5,650",,Kolkata
"Vivanta Kolkata, EM Bypass",4.4,Excellent,2031,5.0,East Kolkata Township,,,"5,500",,Kolkata
Hyatt Regency Kolkata,4.2,Very Good,1426,5.0,Salt Lake City ,Salt Lake Stadium,740 m ,"5,780",694,Kolkata
"Bandhan Residency
Like a 3",3.7,Very Good,460,,Kaikhali ,Netaji Subhash Chandra Bose International Airport,3.0 km ,"1,102",350,Kolkata
The Oberoi Grand,4.7,Excellent,1268,5.0,New Market Area ,Park Street,930 m ,"8,000",,Kolkata
"Fairfield by Marriott, Kolkata",4.1,Very Good,2332,4.0,New Town,,,"2,499",,Kolkata
Ethnotel,4.0,Very Good,3211,3.0,Dum Dum ,Netaji Subhash Chandra Bose International Airport,1.7 km ,"2,949",621,Kolkata
Backpackers Park Hostel @ParkStreet,3.8,Very Good,417,,New Market Area ,Park Street,150 m ,893,209,Kolkata
THE WESTIN KOLKATA RAJARHAT,4.4,Excellent,2067,5.0,New Town ,Netaji Subhash Chandra Bose International Airport,9.3 km ,"5,699",,Kolkata
